Unique_identifier,Primary_drug_id,Primary_Drug,Primary_Drug_ES,drug_trade_names,drug_class_name,drug_class_name_ES,co_drug_id,Comedication,Comedication_ES,co_drug_trade_names,co_drug_class_name,co_drug_class_name_ES,Evidence_Grade,Interaction_Status,Interaction_Status_ES,Interaction_Status_color,site_type,Last_updated,Description,Summary,Summary_ES,created_at,updated_at
118111,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2491,Alcuronium,Alcuronio,Alloferin,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Alcuronium is predominantly eliminated unchanged via the kidneys. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. El alcuronio se elimina predominantemente sin cambios por vía renal. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118112,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2486,Bupivacaine,Bupivacaína,"Marcain, Bufyl",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Bupivacaine is metabolized by CYP3A4. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La bupivacaína se metaboliza por el CYP3A4. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118113,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2477,Cisatracurium,Cisatracurio,"Nimbex, Nimbium",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Cisatracurium undergoes mainly spontaneous degradation in plasma and tissues at physiological pH and temperature (Hofmann elimination). An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. El cisatracurio experimenta principalmente degradación espontánea en plasma y tejidos a nivel fisiológico de pH y temperatura (eliminación de Hofmann). Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118114,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2478,Desflurane,Desflurano,Suprane,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Desflurane is almost exclusively eliminated unchanged by the lungs. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. El desflurano se elimina casi exclusivamente sin cambios por vía pulmonar. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118115,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2479,Dexmedetomidine,Dexmedetomidina,"Precedex, Dexdor",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Dexmedetomidine undergoes extensive hepatic metabolism biotransformation through direct glucuronidation (mainly via UGT1A4, 2B10) and cytochrome P450 (mainly CYP2A6). Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La dexmedetomidina experimenta un extenso metabolismo hepático mediante glucuronidación directa (principalmente vía UGT1A4, 2B10) y el citocromo P450 (principalmente el CYP2A6). La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118116,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2474,Enflurane,Enflurano,Ethrane,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Enflurane is predominantly metabolized by CYP2E1. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El enflurano se metaboliza predominantemente vía CYP2E1. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118117,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2487,Ephedrine,Efedrina,"Haymine, CAM, Theomax DF, Marax, Hydrophed",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Ephedrine is predominantly eliminated unchanged via the kidneys via the renal transporter OCT2. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La efedrina se elimina predominantemente sin cambios por vía renal, a través del transportador renal OCT2. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118118,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2475,Halothane,Halotano,,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Halothane undergoes both oxidative and reductive metabolism by cytochromes. In vitro data have shown that oxidation occurs mainly via CYP2E1 and to a lesser extent CYP2A6 and reduction via CYP2A6 and CYP3A4. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El halotano experimenta metabolismo tanto oxidativo como reductivo por los citocromos. Los datos in vitro han demostrado que la oxidación ocurre principalmente a través del CYP2E1 (y en menor medida, del CYP2A6), y la reducción por vía de los CYP2A6 y CYP3A4. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118119,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2480,Isoflurane,Isoflurano,"AErran, AErrane, Florane, Forane, Forenium, Forthane, Isofludem, Isoforine, Terrell, Zuflax",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Isoflurane is almost exclusively eliminated unchanged by the lungs. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El isoflurano se elimina casi exclusivamente sin cambios por vía pulmonar. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118120,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2476,Ketamine,Ketamina,Ketalar,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Ketamine is mainly metabolized by CYP3A4 and to a lesser extent by CYP2B6 and CYP2C9 in the range of concentrations used in anaesthesia. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La ketamina se metaboliza principalmente vía CYP3A4 y, en menor medida, a través del CYP2B6 y el CYP2C9 en el rango de concentraciones utilizadas en anestesia. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
