Unique_identifier,Primary_drug_id,Primary_Drug,drug_trade_names,drug_class_name,co_drug_id,Comedication,co_drug_trade_names,co_drug_class_name,Evidence_Grade,Interaction_Status,Interaction_Status_color,site_type,Last_updated,Description,Resumo,created_at,updated_at
118111,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2491,Alcuronium,Alloferin,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O alcurônio é eliminado predominantemente inalterado através dos rins. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118112,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2486,Bupivacaine,"Marcain, Bufyl",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A bupivacaína é metabolizada pela CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118113,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2477,Cisatracurium,"Nimbex, Nimbium",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O cisatracúrio sofre principalmente degradação espontânea no plasma e tecidos a temperatura e pH fisiológico (eliminação de Hofmann). Uma interação é pouco provável, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118114,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2478,Desflurane,Suprane,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O desflurano é quase exclusivamente eliminado inalterado pelos pulmões. Uma interação é pouco provável, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118115,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2479,Dexmedetomidine,"Precedex, Dexdor",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A dexmedetomidina sofre extensiva biotransformação do metabolismo hepático através da glucuronidação direta (principalmente por mediação da UGT1A4, 2B10) e do citocromo P450 (principalmente CYP2A6). O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118116,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2474,Enflurane,Ethrane,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O enflurano é predominantemente metabolizado pela CYP2E1. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118117,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2487,Ephedrine,"Haymine, CAM, Theomax DF, Marax, Hydrophed",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A efedrina é predominantemente eliminada inalterada através dos rins via o transportador renal OCT2. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118118,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2475,Halothane,,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O halotano sofre metabolismo oxidativo e redutor por citocromos. Dados in vitro mostraram que a oxidação ocorre principalmente por mediação da CYP2E1 e, em menor extensão, da CYP2A6 e a redução por mediação da CYP2A6 e a CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118119,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2480,Isoflurane,"AErran, AErrane, Florane, Forane, Forenium, Forthane, Isofludem, Isoforine, Terrell, Zuflax",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O isoflurano é quase exclusivamente eliminado inalterado pelos pulmões. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118120,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2476,Ketamine,Ketalar,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A cetamina é metabolizada principalmente pela CYP3A4 e, em menor grau, pela CYP2B6 e CYP2C9 na faixa de concentrações utilizadas na anestesia. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
