Lista_Unique_identifiers,Summary_EN,Summary_ES
114537,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Argatroban undergoes metabolism in the liver via hydroxylation and aromatization. In vitro studies indicate that CYP3A4 plays a role in argatroban metabolism, however, human drug-drug interactions studies suggest that metabolism via CYP3A4 is not a major elimination pathway in vivo.",""
115477,Coadministration has not been studied. Flunisolide undergoes CYP3A4-mediated metabolism and coadministration may decrease flunisolide concentrations. Monitor steroid effect and adjust dosage if needed.&nbsp;,""
115478,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Red yeast rice contains monacolin K (a natural component with the same chemical structure as lovastatin) which is metabolised by CYP3A4.,""
115938,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Canagliflozin is primarily metabolised by UGT1A9 and UGT2B4. Dolutegravir is not expected to inhibit or induce UGTs at clinically relevant concentrations. No interaction is expected with lamivudine.,""
71179,Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely.,""
115939,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Dapagliflozin is primarily metabolised by UGT1A9. Dolutegravir is not expected to inhibit or induce UGTs at clinically relevant concentrations. No interaction is expected with lamivudine.,""
115972,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolized by CYP2D6, CYP2J2 and CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.",""
115973,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cetirizine is only metabolised to a limited extent and is eliminated unchanged in the urine through both glomerular filtration and tubular secretion. No interaction is expected with dolutegravir. Lamivudine is eliminated by OCT2 and in vitro data indicate that cetirizine inhibits OCT2. However, the clinical relevance of an interaction via OCT is unknown and given the good tolerability of lamivudine, no a priori dose adjustment of lamivudine is needed.",""
115432,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ciclesonide is a pro-drug activated by esterases in the lungs to des-ciclesonide which then undergoes CYP3A4-mediated metabolism. Rilpivirine, emtricitabine and tenofovir alafenamide do not interact with ciclesonide metabolism.",""
75461,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ciclesonide is a pro-drug activated by esterases in the lungs to des-ciclesonide which then undergoes CYP3A4-mediated metabolism. Efavirenz is unlikely to have clinically significant effect on ciclesonide metabolism.,""
116023,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Pimozide is metabolized mainly by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
116024,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The metabolism of pipotiazine has not been well described but may involve CYP2D6. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
71672,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. ,""
116025,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Quetiapine is metabolized mainly by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
116202,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Vincristine is metabolized by CYP3A5/4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
116232,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Sildenafil is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine. ,""
75462,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ciclesonide is a pro-drug activated by esterases in the lungs to des-ciclesonide which then undergoes CYP3A4-mediated metabolism. Etravirine is unlikely to have clinically significant effect on ciclesonide metabolism.,""
116233,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Tadalafil is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine. ,""
116234,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Vardenafil is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine. ,""
116235,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2, with in vivo data suggesting that CYP1A2 plays a more prominent role. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.",""
75463,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ciclesonide is a pro-drug activated by esterases in the lungs to des-ciclesonide which then undergoes CYP3A4-mediated metabolism. Nevirapine is unlikely to have clinically significant effect on ciclesonide metabolism.,""
115454,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Flunisolide undergoes CYP3A4-mediated metabolism. Dolutegravir/rilpivirine does not interact with flunisolide metabolism.,""
115455,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Flunisolide undergoes CYP3A4-mediated metabolism. Doravirine does not interact with flunisolide metabolism.,""
115456,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Flunisolide undergoes CYP3A4-mediated metabolism. Maraviroc does not interact with flunisolide metabolism.,""
67533,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Sumatriptan is eliminated primarily by metabolism mediated by monoamine oxidase A.,""
67046,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as azithromycin is mainly eliminated via biliary excretion.,""
67048,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ciprofloxacin is primarily eliminated unchanged by the kidneys by glomerular filtration and tubular secretion via OAT3. It is also metabolized and partially cleared through the bile and intestine.,""
67069,Coadministration has not been studied but based on metabolism and clearance a clinically significant drug interaction is unlikely as ofloxacin is primarily eliminated by the kidney.,""
115459,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Flunisolide undergoes CYP3A4-mediated metabolism. Rilpivirine, emtricitabine and tenofovir alafenamide do not interact with flunisolide metabolism.",""
115460,"No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Flunisolide undergoes CYP3A4-mediated metabolism. Ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",""
115461,"Coadministration has not been studied. Flunisolide undergoes CYP3A4-mediated metabolism and coadministration may increase flunisolide concentrations. Flunisolide has properties (low binding affinity to glucocorticoid receptors, low lipophilicity and short elimination half-life) associated with a lower propensity to cause a Cushing syndrome. If coadministered with atazanavir, it is recommended to use the lowest possible flunisolide dose with monitoring for corticosteroid side effects.",""
116456,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ergometrine is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
68596,Coadministration has not been studied but may increase testosterone concentrations. A dose adjustment of testosterone may be required.,""
67140,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ethambutol is partly metabolized by alcohol dehydrogenase (20%) and partly eliminated unchanged in the faeces (20%) and in the urine (50%).,""
67172,Coadministration has not been studied. Clindamycin is metabolized by CYP3A4 and coadministration may increase clindamycin concentrations due to inhibition of CYP3A. A decrease in clindamycin dose may be needed.,""
116476,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Fluticasone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
