Unique_identifier,Translation,idioma_symbol,File Name
66914,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es improbable que se produzca una interacción clínicamente significativa.",es,ES-HIV-interactions-2019-03-13.csv
82365,Texto sólo para pruebas.,es,ES-HIV-interactions-2019-03-13.csv
69120,No se ha estudiado la administración conjunta pero puede incrementar las concentraciones de testosterona. Puede requerirse un ajuste de dosis de testosterona.,es,ES-HIV-interactions-2019-03-13.csv
70370,"No debe tomarse otro medicamento por vía oral durante 1 hora antes o después de macrogol, ya que puede limpiarse del tracto gastrointestinal y no absorberse.",es,ES-HIV-interactions-2019-03-13.csv
67067,"No se ha estudiado la administración conjunta, pero en función del metabolismo y el clearance, es improbable que se produzca una interacción clínicamente significativa dado que la ofloxacina se elimina principalmente a través de los riñones.",es,ES-HIV-interactions-2019-03-13.csv
66997,"No se ha estudiado la administración conjunta, pero la delavirdina puede aumentar las concentraciones de disopiramida. Se requiere precaución y se recomienda el monitoreo de la concentración terapéutica para el antiarrítmico, en caso de estar disponible.",es,ES-HIV-interactions-2019-03-13.csv
66939,"No se ha estudiado la administración conjunta. El fentanilo sufre un extenso metabolismo de CYP3A4. El nelfinavir podría aumentar potencialmente la exposición al fentanilo y, por lo tanto, puede incrementar el riesgo de depresión respiratoria. Use con precaución y monitoree de cerca. Comience con una dosis más baja y titule según sea necesario.",es,ES-HIV-interactions-2019-03-13.csv
66940,"En pacientes con VIH estables en tratamiento con metadona que recibieron fosamprenavir/ritonavir (700/100 mg dos veces al día), la metadona activa (R-) disminuyó en un 18% (AUC) y un 21% (Cmax). La metadona inactiva (S-) disminuyó en un 42% (AUC) y un 43% (Cmax). La farmacocinética de amprenavir fue similar a los controles históricos. En este estudio, ningún sujeto requirió un cambio en la dosis de metadona y no hubo evidencia de abstinencia de opiáceos 14 días después del agregado de fosamprenavir/ritonavir. Los pacientes deben ser monitoreados para detectar síntomas de abstinencia de opiáceos y la dosis de metadona puede precisar incrementarse.",es,ES-HIV-interactions-2019-03-13.csv
66943,"La administración conjunta de metadona con nelfinavir (1250 mg dos veces al día) a 13 pacientes con VIH disminuyó la exposición a metadona en ~50%. Ningún sujeto experimenta síntomas de abstinencia en este estudio, pero la dosis de metadona puede necesitar un aumento en algunos pacientes. Otro estudio en pacientes con VIH no mostró un efecto significativo de metadona sobre la farmacocinética de nelfinavir.",es,ES-HIV-interactions-2019-03-13.csv
66949,"No se ha estudiado la administración conjunta. La morfina se glucuronida principalmente a morfina-3-glucurónido (UGT2B7> UGT1A1) y, en menor medida, a la morfina-6-glucurónido farmacológicamente activa (UGT2B7> UGT1A1). Dado que nelfinavir induce la glucuronidación, la administración conjunta podría disminuir la concentración de morfina pero facilitar la formación del metabolito activo morfina-6-glucurónido. La morfina y la morfina-6-glucurónido son sustratos de P-gp y la administración conjunta puede potenciar los efectos del opio en el SNC (mediante la inhibición de la P-gp en la barrera hematoencefálica). Monitoree los signos de toxicidad por opiáceos.",es,ES-HIV-interactions-2019-03-13.csv
