Summary_EN,Lista de Ids,Lista de Traducciones
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,114523;120337;120337;71802;71802,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacocinética."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with cyanocobalamin when given alone or in multivitamins. Cyanocobalamin undergoes enterohepatic recycling and is excreted almost entirely in the urine.,70633;98859;98859;100693;100693,"No se ha estudiado la administración conjunta, pero en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacológica clínicamente relevante."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Oxandrolone is metabolized in the kidney.,68558;89312;89312;93879;93879;99058;99058;100895;100895;101308;101308;102436;102436;99852;99852,"No se ha estudiado la administración conjunta y no existen datos claros, reales o teóricos, que indiquen la ocurrencia de una interacción.;No se ha estudiado la administración conjunta y no existen datos claros, reales o teóricos, que indiquen si se producirá una interacción con rilpivirina. No se espera una interacción con emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Bictegravir no inhibe ni induce las enzimas CYP450 o UGT. No se esperan interacciones significativas con emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta y no existen datos claros, reales o teóricos que indiquen si se producirá una interacción con darunavir/cobicistat. En función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa con emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta y no existen datos claros, reales o teóricos, que indiquen si se producirá una interacción con doravirina. No se espera interacción con lamivudina o tenofovir-DF.;No se ha estudiado la administración conjunta y no existen datos claros, reales o teóricos, que indiquen si se producirá una interacción con doravirina.;No hay datos claros, reales o teóricos, que indiquen si ocurrirá una interacción.;No se ha estudiado la administración conjunta. En función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa con dolutegravir. No existen datos claros, reales o teóricos, que indiquen si se producirá una interacción con rilpivirina."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Nandrolone is metabolised in the liver by alpha-reductase.,68574;77364;77364;77363;77363;77368;77368;77826;77826;85826;85826;99851;99851;101307;101307;100894;100894;96931;96931;93878;93878;89311;89311;77360,"No se ha estudiado la administración conjunta, pero hay poco potencial de interacción ya que el maraviroc no inhibe ni induce las enzimas CYP450 en concentraciones clínicamente relevantes.;No se ha estudiado la administración conjunta, pero hay poco potencial de interacción ya que el raltegravir no inhibe ni induce las enzimas CYP450.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, existe poco potencial para las interacciones farmacocinéticas. La nandrolona se metaboliza en el hígado.;No se ha estudiado la administración conjunta, pero hay poco potencial de interacción ya que la rilpivirina no inhibe ni induce las enzimas CYP450 en concentraciones clínicamente relevantes.;No se ha estudiado la administración conjunta. La nandrolona se metaboliza en el hígado y no hay datos claros, reales o teóricos, que indiquen si ocurrirá una interacción.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se espera que dolutegravir y rilpivirina inhiban o induzcan las enzimas CYP en concentraciones clínicamente relevantes.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nandrolona se metaboliza en el hígado, pero la doravirina no inhibe ni induce las enzimas CYP o UGT.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nandrolona se metaboliza en el hígado. La doravirina no inhibe ni induce las enzimas CYP o UGT. Lamivudina y tenofovir-DF no interactúan con la vía metabólica de la drospirenona.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nandrolona se metaboliza en el hígado.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nandrolona se metaboliza en el hígado, pero el bictegravir no inhibe ni induce las enzimas P450 o UGT. No se esperan interacciones significativas con emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nandrolona se metaboliza en el hígado. Es poco probable que la rilpivirina a una dosis de 25 mg una vez al día tenga un efecto clínicamente relevante sobre la exposición de medicamentos metabolizados por las enzimas CYP. La emtricitabina y el tenofovir alafenamida no interactúan con la vía metabólica de la nandrolona."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as gabapentin is cleared mainly by glomerular filtration.,68725;68724;68724;76564;76564;95587;95587,"No se ha estudiado la administración conjunta, pero según el metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que la gabapentina se elimina principalmente por filtración glomerular.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacológica clínicamente significativa ya que la gabapentina se elimina principalmente por filtración glomerular.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que la gabapentina se elimina principalmente por filtración glomerular."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as vigabatrin is cleared mainly by glomerular filtration.,68229;86027;86027;68869;68869;68870;68870,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el vigabatrín se elimina principalmente por filtración glomerular.;No se han realizado estudios de interacción, pero no se esperarían interacciones clínicamente significativas ya que el vigabatrín se elimina exclusivamente sin cambios en la orina.;No se ha estudiado la administración conjunta pero, según el metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el vigabatrin se elimina principalmente por filtración glomerular."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",120365;94824;94824,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se han realizado estudios de interacciones farmacológicas con ibalizumab: de acuerdo con el mecanismo de acción del ibalizumab y la disposición farmacológica mediada por meta, no se esperan interacciones farmacológicas. Es probable que el ibalizumab, un anticuerpo monoclonal que se une al receptor CD4, se elimine mediante catabolismo intracelular de forma similar a otros anticuerpos monoclonales.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se han realizado estudios de interacciones farmacológicas con ibalizumab: de acuerdo con el mecanismo de acción del ibalizumab y la disposición farmacológica mediada por meta, no se esperan interacciones entre fármacos. Es probable que el ibalizumab, un anticuerpo monoclonal que se une al receptor CD4, se elimine mediante catabolismo intracelular de forma similar a otros anticuerpos monoclonales."
"Maraviroc can be administered at the standard dose of 300 mg twice daily with tipranavir/ritonavir. If coadministered with tipranavir/ritonavir IN THE PRESENCE OF EFAVIRENZ, increase maraviroc to 600 mg twice daily. Coadministration of tipranavir/ritonavir (500/200 mg twice daily) and maraviroc (150 mg twice daily) had no clinically significant effect on maraviroc AUC (2% increase) or Cmax (14% decrease), but increased Cmin by 80%. Tipranavir and ritonavir concentrations were consistent with historical data.",70028;70552;70552,"El maraviroc puede administrarse en la dosis estándar de 300 mg dos veces al día con tipranavir/ritonavir. Si se administra conjuntamente con tipranavir/ritonavir EN PRESENCIA DE EFAVIRENZ, aumente maraviroc a 600 mg dos veces al día. La administración conjunta de tipranavir/ritonavir (500/200 mg dos veces al día) y maraviroc (150 mg dos veces al día) no tuvo un efecto clínicamente significativo sobre el área bajo la curva (aumento del 2%) o la Cmáx (disminución del 14%) de maraviroc, pero aumentó la Cmin en un 80%. Las concentraciones de tipranavir y ritonavir fueron consistentes con los controles históricos. La información prescriptiva de EEUU recomienda que el maraviroc se reduzca a 150 mg dos veces al día en pacientes con un clearance de creatinina inferior a 30 ml/min, o en hemodiálisis si hay algún síntoma de hipotensión postural.;El maraviroc se puede administrar a la dosis estándar de 300 mg dos veces al día con tipranavir/ritonavir. Si se administra conjuntamente con tipranavir/ritonavir EN PRESENCIA DE EFAVIRENZ, aumente maraviroc a 600 mg dos veces al día. La administración conjunta de tipranavir/ritonavir (500/200 mg dos veces al día) y maraviroc (150 mg dos veces al día) no tuvo un efecto clínicamente significativo sobre el área bajo la curva (aumento del 2%) o la Cmáx (disminución del 14%) de maraviroc, pero aumentó la Cmin en un 80%. Las concentraciones de tipranavir y ritonavir fueron consistentes con los controles históricos. La información prescriptiva de EEUU recomienda que el maraviroc se reduzca a 150 mg dos veces al día en pacientes con un clearance de creatinina inferior a 30 ml/min, o en hemodiálisis si hay algún síntoma de hipotensión postural."
"Etravirine decreases maraviroc AUC and Cmax by 53% and 60% respectively. Coadministration of etravirine with darunavir/ritonavir increased maraviroc AUC and Cmax by 210% and 77% respectively. Maraviroc had no significant effect on etravirine, darunavir or ritonavir pharmacokinetics. When coadministered with etravirine and boosted PIs, the recommended dose of maraviroc is 150 mg twice daily (coadministration with etravirine and fosamprenavir/ritonavir is not recommended in the European SPC). When coadministered with etravirine in the absence of a potent CYP3A4 inhibitor, the recommended dose of maraviroc is 600 mg twice daily. No dose adjustment for etravirine is necessary. The US Prescribing Information contraindicates coadministration in patients with creatinine clearance less than 30 ml/min or on haemodialysis.",70374;70536;70536,"La etravirina disminuye el área bajo la curva y la Cmáx de maraviroc en un 53% y un 60%, respectivamente. La administración conjunta de etravirina con darunavir/ritonavir aumentó el área bajo la curva y la Cmáx de maraviroc en un 210% y 77%, respectivamente. El maraviroc no tuvo un efecto significativo sobre la farmacocinética de etravirina, darunavir o ritonavir. Cuando se administra conjuntamente con etravirina e IPs reforzados, la dosis recomendada de maraviroc es de 150 mg dos veces al día (el prospecto aprobado por la EMA no recomienda la administración conjunta con etravirina y fosamprenavir/ritonavir). Cuando se administra conjuntamente con etravirina en ausencia de un potente inhibidor de CYP3A4, la dosis recomendada de maraviroc es de 600 mg dos veces al día. No es necesario ajustar la dosis de etravirina. La información prescriptiva de EEUU establece que la administración conjunta no debe recomendarse en pacientes con clearance de creatinina inferior a 30 ml/min o en hemodiálisis.;La etravirina disminuye el área bajo la curva y la Cmáx de maraviroc en un 53% y un 60%, respectivamente. La administración conjunta de etravirina con darunavir/ritonavir aumentó el área bajo la curva y la Cmáx de maraviroc en un 210% y 77%, respectivamente. El maraviroc no tuvo un efecto significativo sobre la farmacocinética de etravirina, darunavir o ritonavir. Cuando se administra conjuntamente con etravirina e IPs reforzados, la dosis recomendada de maraviroc es de 150 mg dos veces al día (el prospecto aprobado por la EMA no recomienda la administración conjunta con etravirina y fosamprenavir/ritonavir). Cuando se administra conjuntamente con etravirina en ausencia de un potente inhibidor del CYP3A4, la dosis recomendada de maraviroc es de 600 mg dos veces al día. No es necesario ajustar la dosis de etravirina. La información prescriptiva de EEUU establece que la administración conjunta no debe recomendarse en pacientes con clearance de creatinina inferior a 30 ml/min o en hemodiálisis."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Raltegravir is not expected to affect the pharmacokinetics of tadalafil.,70950;81651;81651,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se espera que el raltegravir afecte la farmacocinética del tadalafilo.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se espera que raltegravir afecte la farmacocinética del tadalafilo."
