Summary_EN,Lista de Ids,Lista de Traducciones
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,114523;120337;120337;71802;71802,"A coadministração não foi estudada, mas com base no metabolismo e no clearance, é pouco provável uma interação clinicamente significativa.;Não foi estudada a coadministração, mas é improvável uma interação farmacocinética baseada no metabolismo e na depuração."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with cyanocobalamin when given alone or in multivitamins. Cyanocobalamin undergoes enterohepatic recycling and is excreted almost entirely in the urine.,70633;98859;98859;100693;100693,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração.;Não foi estudada a coadministração, mas é improvável uma interação medicamentosa clinicamente relevante baseada no metabolismo e na depuração. "
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Oxandrolone is metabolized in the kidney.,68558;89312;89312;93879;93879;99058;99058;100895;100895;101308;101308;102436;102436;99852;99852,"Não foi estudada a coadministração e não há dados claros, reais ou teóricos, para indicar se acontecerá a interação.;Não foi estudada a coadministração e não há dados claros, reais ou teóricos, para indicar se acontecerá a interação com a rilpivirina. Não se espera uma interação com a emtricitabina e o tenofovir alafenamida. ;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O bictegravir não inibe ou induz as enzimas do P450 ou UGTs. Não se espera interações significativas com a emtricitabina e o tenofovir alafenamida.;Não foi estudada a coadministração e não há dados claros, reais ou teóricos, para sugerir a ocorrência de uma interação com o darunavir/cobicistate.  Baseado no metabolismo e na depuração, é improvável uma interação clinicamente significativa com a emtricitabina e o tenofovir alafenamida.;Não foi estudada a coadministração e não há dados claros, reais ou teóricos, para sugerir a ocorrência de uma interação com a doravirina. Não se espera uma interação com os lamivudina ou tenofovir-DF.;Não foi estudada a coadministração e não há dados claros, reais ou teóricos, para indicar se ocorrerá uma interação com a doravirina. ;Não há dados claros, reais ou teóricos, para sugerir a ocorrência de uma interação;Não foi estudada a coadministração. Baseado no metabolismo e na depuração é improvável uma interação clinicamente significativa com o dolutegravir. Não há dados claros, reais ou teóricos, para sugerir a ocorrência de uma interação com a rilpivirina."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Nandrolone is metabolised in the liver by alpha-reductase.,68574;77364;77364;77363;77363;77368;77368;77826;77826;85826;85826;99851;99851;101307;101307;100894;100894;96931;96931;93878;93878;89311;89311;77360,"Não foi estudada a coadministração, mas há um pequeno potencial de interação, já que o maraviroque não inibe nem induz as enzimas do CYP450 nas concentrações clinicamente relevantes.;Não foi estudada a coadministração, mas há um pequeno potencial de interação, já que o raltegravir não inibe nem induz as enzimas do CYP450.;Não foi estudada a coadministração, mas baseado no metabolismo e na depuração há pouca interação farmacocinética. A nandrolona é metabolizada no fígado.;Não foi estudada a coadministração, mas há um pequeno potencial de interação, já que a rilpivirina não inibe ou induz as enzimas do CYP450 nas concentrações clinicamente relevantes.;Não foi estudada a coadministração. A nandrolona é metabolizada no fígado e não há dados claros, reais ou teóricos, para indicar se acontecerá a interação.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Não se espera que o dolutegravir e a rilpivirina inibam ou induzam as enzimas do CYP nas concentrações clinicamente relevantes.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nandrolona é metabolizada no fígado, mas a doravirina não inibe ou induz as enzimas dos CYP ou UGT. ;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nandrolona é metabolizada no fígado. A doravirina não inibe ou induz as enzimas dos CYP ou UGT. O lamivudina e o tenofovir-DF não interagem com a via metabólica da nandrolona.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nandrolona é metabolizada no fígado.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nandrolona é metabolizada no fígado, mas o bictegravir não inibe ou induz as enzimas do CYP450 ou UGTs. Não se espera interações significativas com a emtricitabina e o tenofovir alafenamida.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nandrolona é metabolizada no fígado. É improvável que a rilpivirina na dose de 25 mg uma vez ao dia surta um efeito clinicamente relevante na exposição dos produtos medicinais metabolizados pelas enzimas do CYP. A emtricitabina e o tenofovir alafenamida não interagem com esta via metabólica.;Não foi estudada a coadministração, mas baseada no metabolismo e na depuração há pouco potencial de interação farmacocinética. A nandrolona é metabolizada no fígado. "
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as gabapentin is cleared mainly by glomerular filtration.,68725;68724;68724;76564;76564;95587;95587,"Não foi estudada a coadministração, mas baseada no metabolismo e na depuração, é improvável uma interação medicamentosa clinicamente relevante, já que a gabapentina é depurada principalmente pela filtração glomerular.;Não foi estudada a coadministração, mas é improvável uma interação medicamentosa clinicamente relevante baseada no metabolismo e na depuração, já que a gabapentina é depurada principalmente pela filtração glomerular.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração, já que a gapentina é depurada principalmente pela filtração glomerular. "
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as vigabatrin is cleared mainly by glomerular filtration.,68229;86027;86027;68869;68869;68870;68870,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração já que o vigabatrina é depurado principalmente pela filtração glomerular.;Não foram realizados os estudos de interação, mas não se esperam interações clinicamente significativas, já que o vigabatrina é exclusivamente eliminado sem alterações na urina.;Não foi estudada a coadministração, mas baseada no metabolismo e na depuração, é improvável uma interação medicamentosa clinicamente relevante, já que o vigabatrina é depurado principalmente pela filtração glomerular."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",120365;94824;94824,"A coadministração não foi estudada, mas com base no metabolismo e no clearance, é pouco provável uma interação clinicamente significativa. Não foram realizados estudos de interação medicamentosa com o ibalizumab: com base no mecanismo de ação do ibalizumab e na disposição mediada pelo alvo do medicamento, não se esperam interações entre medicamentos. O ibalizumab, um anticorpo monoclonal ligado ao receptor CD4, é provável que seja eliminado via catabolismo intracelular de forma semelhante a outros anticorpos monoclonais.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Não foram realizados estudos de interação medicamentosa com o ibalizumabe: baseado no mecanismo de ação do ibalizumabe e a disposição do medicamento mediado pelo alvo, não são esperadas as interações medicamentosas. É provável que o ibalizumabe, um anticorpo monoclonal unido ao receptor CD4, seja eliminado pelo catabolismo intracelular da mesma forma do que outros anticorpos monoclonais."
"Maraviroc can be administered at the standard dose of 300 mg twice daily with tipranavir/ritonavir. If coadministered with tipranavir/ritonavir IN THE PRESENCE OF EFAVIRENZ, increase maraviroc to 600 mg twice daily. Coadministration of tipranavir/ritonavir (500/200 mg twice daily) and maraviroc (150 mg twice daily) had no clinically significant effect on maraviroc AUC (2% increase) or Cmax (14% decrease), but increased Cmin by 80%. Tipranavir and ritonavir concentrations were consistent with historical data.",70028;70552;70552,"O maraviroque pode ser administrado na dose padrão de 300 mg duas vezes ao dia com o tipranavir/ritonavir. Se for coadministrado com o tipranavir/ritonavir NA PRESENÇA DO EFAVIRENZ, aumentar o maraviroque para 600 mg duas vezes ao dia. A coadministração do tipranavir/ritonavir (500/200 mg duas vezes ao dia) com o maraviroque (150 mg duas vezes ao dia) não surtiu efeito clinicamente significativo sobre a AUC (aumento de 2%) ou a Cmáx (diminuição de 14%) do maraviroque, mas a Cmín aumentou 80%. As concentrações do tipranavir e do ritonavir foram consistentes com os dados históricos. A USPI recomenda que o maraviroque seja reduzido para 150 mg duas vezes ao dia em pacientes com depuração da creatinina menor a 30 ml/min ou em hemodiálise no caso de sintomas de hipotensão postural.;O maraviroque pode ser coadministrado com uma dose estândar de 300 mg duas vezes ao dia, com o tipranavir/ritonavir. Se for coadministrado com o tipranavir/ritonavir NA PRESENÇA DO EFAVIRENZ, aumentar a dose do maraviroque para 600 mg duas vezes ao dia. A coadministração do tipranavir/ritonavir (500/ 200 mg duas vezes ao dia) com o maraviroque (150 mg duas vezes ao dia) não surtiu efeito clinicamente significativo na AUC (aumento de 2%) ou na Cmáx (diminuição de 14%) do maraviroque, mas aumentou 80% a Cmín. As concentrações do tipranavir e do ritonavir foram consistentes com dados históricos. A USPI recomenda que a dose do maraviroque deveria ser reduzida para 150 mg duas vezes ao dia nos pacientes com a depuração de creatinina menor a 30 ml/min ou em hemodiálise, se houver sintomas de hipotensão postural. "
"Etravirine decreases maraviroc AUC and Cmax by 53% and 60% respectively. Coadministration of etravirine with darunavir/ritonavir increased maraviroc AUC and Cmax by 210% and 77% respectively. Maraviroc had no significant effect on etravirine, darunavir or ritonavir pharmacokinetics. When coadministered with etravirine and boosted PIs, the recommended dose of maraviroc is 150 mg twice daily (coadministration with etravirine and fosamprenavir/ritonavir is not recommended in the European SPC). When coadministered with etravirine in the absence of a potent CYP3A4 inhibitor, the recommended dose of maraviroc is 600 mg twice daily. No dose adjustment for etravirine is necessary. The US Prescribing Information contraindicates coadministration in patients with creatinine clearance less than 30 ml/min or on haemodialysis.",70374;70536;70536,"A etravirina diminui a AUC e Cmáx do maraviroque 53% e 60%, respectivamente. A coadministração da etravirina com o darunavir/ritonavir aumentou a AUC e Cmáx do maraviroque 210% e 77%, respectivamente. O maraviroque não surtiu efeito significativo sobre a farmacocinética da etravirina, do darunavir ou do ritonavir. Ao ser coadministrada com a etravirina e os IPs potenciados, a dose recomendada do maraviroque é 150 mg duas vezes ao dia (o RCM Europeu não recomenda a coadministração com a etravirina e o fosamprenavir/ritonavir). Ao coadministrar com a etravirina na ausência de um potente inibidor do CYP3A4, a dose recomendada do maraviroque é 600 mg duas vezes ao dia. Não é necessário um ajuste da dose para a etravirina. A USPI não recomenda a coadministração em pacientes com depuração da creatinina menor a 30 ml/min ou em hemodiálise.  ;A etravirina diminui a AUC e a Cmáx do maraviroque 53% e 60%, respectivamente. A coadministração da etravirina com o darunavir/ritonavir aumentou a AUC e a Cmáx do maraviroque 210% e 77%, respectivamente. O maraviroque não surtiu efeito significativo na farmacocinética da etravirina, do darunavir ou do ritonavir. Ao ser coadministrada a etravirina com os IPs potenciados, a dose recomendada do maraviroque é 150 mg duas vezes ao dia (o RCM Europeu não recomenda a coadministração da etravirina com o fosamprenavir/ritonavir). Ao ser coadministrada com a etravirina na ausência de um inibidor potente do CYP3A4, a dose recomendada do maraviroque é 600 mg duas vezes ao dia. Não é necessário ajustar a dose da etravirina. A USPI estabelece que não é recomendada a coadministração nos pacientes com depuração de creatinina menor a 30 ml/min ou em hemodiálises."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Raltegravir is not expected to affect the pharmacokinetics of tadalafil.,70950;81651;81651,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Não se espera que o raltegravir afete a farmacocinética da tadalafila.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Não é esperado que o raltegravir afete a farmacocinética da tadalafila."
